direktorij,slika,presek/unija,precision,recall,mse,,
compressedQ50_pilKompresor,s2.jpg,0.638222409,0.917796685,0.891485882,0.009864503,,0.011785893
compressedQ50_pilKompresor,s3.jpg,0.538797759,0.948232008,0.790692839,0.007334815,,0.011811343
compressedQ50_pilKompresor,s4.jpg,0.727329672,0.968748997,0.885035908,0.020113913,,0.011871643
compressedQ50_pilKompresor,s5.jpg,0.812579487,0.938237912,0.918297428,0.013811352,,0.011874909
compressedQ50_pilKompresor,s6.jpg,0.64291114,0.859357214,0.858037604,0.010126882,,0.01201093
compressedQ55_pilKompresor,s1.jpg,0.725527902,0.949954149,0.870702033,0.005723917,,0.013026861
compressedQ55_pilKompresor,s2.jpg,0.605369939,0.933040858,0.875431375,0.011097811,,0.013413285
compressedQ55_pilKompresor,s3.jpg,0.431977185,0.952022343,0.783781564,0.005015745,,0.013426787
compressedQ55_pilKompresor,s4.jpg,0.773240724,0.969037764,0.908686103,0.008030186,,0.013563725
compressedQ55_pilKompresor,s5.jpg,0.812446571,0.945179472,0.922199711,0.010043378,,0.013811352
compressedQ55_pilKompresor,s6.jpg,0.679648241,0.882668507,0.881888906,0.00954428,,0.013910284
compressedQ5_pilKompresor,s1.jpg,0.366509724,0.711867645,0.765875756,0.031553812,,0.014089009
compressedQ5_pilKompresor,s2.jpg,0.197440647,0.503456528,0.874057547,0.098891065,,0.014258755
compressedQ5_pilKompresor,s3.jpg,0.107344747,0.326068525,0.874297941,0.066413333,,0.014419181
compressedQ5_pilKompresor,s4.jpg,0.086072201,0.302050245,0.901551427,0.314913123,,0.01447242
compressedQ5_pilKompresor,s5.jpg,0.110225114,0.543874221,0.920012043,0.236069203,,0.014543257
compressedQ5_pilKompresor,s6.jpg,0.419806992,0.443592724,0.838506615,0.015165449,,0.014614456
compressedQ60_pilKompresor,s1.jpg,0.74976926,0.948914871,0.885282249,0.005495476,,0.015165449
compressedQ60_pilKompresor,s2.jpg,0.655253333,0.962908801,0.861680612,0.011874909,,0.015381952
compressedQ60_pilKompresor,s3.jpg,0.450657031,0.961897162,0.789221704,0.008237196,,0.01556147
compressedQ60_pilKompresor,s4.jpg,0.823626724,0.980075079,0.918593811,0.01609705,,0.015618007
compressedQ60_pilKompresor,s5.jpg,0.834726589,0.937703945,0.934543519,0.00607512,,0.015633611
compressedQ60_pilKompresor,s6.jpg,0.732457177,0.91268861,0.883905849,0.007372945,,0.01609705
compressedQ65_pilKompresor,s1.jpg,0.752304373,0.956350298,0.887971221,0.004153128,,0.016118318
compressedQ65_pilKompresor,s2.jpg,0.803549314,0.964149606,0.899830431,0.016708122,,0.016302901
compressedQ65_pilKompresor,s3.jpg,0.565775132,0.961548052,0.825130532,0.006681364,,0.016708122
compressedQ65_pilKompresor,s4.jpg,0.842008768,0.981069721,0.926379253,0.011871643,,0.016876976
compressedQ65_pilKompresor,s5.jpg,0.896036656,0.944467517,0.955579567,0.018515949,,0.016941224
compressedQ65_pilKompresor,s6.jpg,0.783224692,0.929981351,0.905431694,0.004414911,,0.017210519
compressedQ70_pilKompresor,s1.jpg,0.780017431,0.944108207,0.907592287,0.008871001,,0.017712775
compressedQ70_pilKompresor,s2.jpg,0.851301201,0.965257467,0.929266212,0.015381952,,0.018515949
compressedQ70_pilKompresor,s3.jpg,0.687767219,0.973966386,0.863503714,0.009168838,,0.019574087
compressedQ70_pilKompresor,s4.jpg,0.876726538,0.980588443,0.951079853,0.020539792,,0.019672889
compressedQ70_pilKompresor,s5.jpg,0.905481609,0.975734204,0.959062281,0.011811343,,0.020042659
compressedQ70_pilKompresor,s6.jpg,0.850997236,0.939959796,0.941042397,0.010191269,,0.020113913
compressedQ75_pilKompresor,s1.jpg,0.796806556,0.95204799,0.913915786,0.00703788,,0.02012489
compressedQ75_pilKompresor,s2.jpg,0.85757804,0.965434725,0.923761872,0.015633611,,0.020143564
compressedQ75_pilKompresor,s3.jpg,0.823307486,0.966236098,0.907192358,0.006388992,,0.020302374
compressedQ75_pilKompresor,s4.jpg,0.894843047,0.968171463,0.974392922,0.029632135,,0.020539792
compressedQ75_pilKompresor,s5.jpg,0.92008896,0.961435776,0.968561353,0.014258755,,0.022086804
compressedQ75_pilKompresor,s6.jpg,0.837953507,0.924204994,0.92721419,0.007991074,,0.022177844
compressedQ80_pilKompresor,s1.jpg,0.84395972,0.957733456,0.926585292,0.007512919,,0.0221837
compressedQ80_pilKompresor,s2.jpg,0.842970779,0.92311442,0.960175156,0.010807178,,0.022247418
compressedQ80_pilKompresor,s3.jpg,0.843539538,0.940551593,0.95098583,0.013563725,,0.024003812
compressedQ80_pilKompresor,s4.jpg,0.874846356,0.954984439,0.976829669,0.026715733,,0.025007524
compressedQ80_pilKompresor,s5.jpg,0.945619665,0.95668941,0.971795335,0.01447242,,0.026715733
compressedQ80_pilKompresor,s6.jpg,0.769438978,0.94023832,0.870583618,0.004819203,,0.027082072
compressedQ85_pilKompresor,s1.jpg,0.817873257,0.907855724,0.965775697,0.016876976,,0.028188324
compressedQ85_pilKompresor,s2.jpg,0.881514259,0.971505805,0.919588926,0.008630904,,0.029498761
compressedQ85_pilKompresor,s3.jpg,0.781223972,0.963293601,0.905107779,0.006290841,,0.029632135
compressedQ85_pilKompresor,s4.jpg,0.896662748,0.982288959,0.963038691,0.007230148,,0.029856705
compressedQ85_pilKompresor,s5.jpg,0.925836438,0.974013646,0.964174546,0.00756105,,0.029947917
compressedQ85_pilKompresor,s6.jpg,0.870108921,0.953474291,0.935251286,0.007268586,,0.030521542
compressedQ90_pilKompresor,s1.jpg,0.883736073,0.948234755,0.974415756,0.007407722,,0.031553812
compressedQ90_pilKompresor,s2.jpg,0.909159182,0.96011699,0.958079066,0.006438583,,0.031687806
compressedQ90_pilKompresor,s3.jpg,0.895679807,0.960251359,0.950486252,0.013026861,,0.032048863
compressedQ90_pilKompresor,s4.jpg,0.943367619,0.978374563,0.973564062,0.009646126,,0.032356759
compressedQ90_pilKompresor,s5.jpg,0.95302203,0.978463364,0.968067622,0.011398106,,0.032548234
compressedQ90_pilKompresor,s6.jpg,0.890176748,0.948557727,0.9447138,0.005909289,,0.032548576
compressedQ95_pilKompresor,s1.jpg,0.947873031,0.969807428,0.975202865,0.006506728,,0.033889928
compressedQ95_pilKompresor,s2.jpg,0.933685578,0.968536737,0.959985945,0.010126745,,0.034853426
compressedQ95_pilKompresor,s3.jpg,0.909186256,0.968829485,0.953563715,0.011785893,,0.035278752
compressedQ95_pilKompresor,s4.jpg,0.947456899,0.975101871,0.978839217,0.024003812,,0.037117324
compressedQ95_pilKompresor,s5.jpg,0.961977068,0.979471967,0.976979524,0.019574087,,0.038908188
compressedQ95_pilKompresor,s6.jpg,0.914115217,0.961503064,0.954314904,0.005907403,,0.039801289
compressedR128_pcaKompresor,s1.jpg,0.581899729,0.831155433,0.885268718,0.022086804,,0.040324956
compressedR128_pcaKompresor,s2.jpg,0.867119031,0.918550031,0.957723051,0.013413285,,0.040828464
compressedR128_pcaKompresor,s3.jpg,0.903944772,0.962595382,0.946545044,0.010933136,,0.040842649
compressedR128_pcaKompresor,s4.jpg,0.897741881,0.953733115,0.980052753,0.016302901,,0.040846826
compressedR128_pcaKompresor,s5.jpg,0.941823352,0.963986947,0.964673752,0.016118318,,0.040847604
