direktorij,slika,presek/unija,precision,recall,mse,,
compressedQ50_pilKompresor,s2.jpg,0.638222409,0.917796685,0.891485882,19.30038748,,20.31771474
compressedQ50_pilKompresor,s3.jpg,0.538797759,0.948232008,0.790692839,14.70122206,,20.47762097
compressedQ50_pilKompresor,s4.jpg,0.727329672,0.968748997,0.885035908,33.21347243,,20.89418778
compressedQ50_pilKompresor,s5.jpg,0.812579487,0.938237912,0.918297428,24.7609538,,20.9509083
compressedQ50_pilKompresor,s6.jpg,0.64291114,0.859357214,0.858037604,28.06591215,,20.96053651
compressedQ55_pilKompresor,s1.jpg,0.725527902,0.949954149,0.870702033,16.30313823,,20.99385991
compressedQ55_pilKompresor,s2.jpg,0.605369939,0.933040858,0.875431375,20.99385991,,21.18186428
compressedQ55_pilKompresor,s3.jpg,0.431977185,0.952022343,0.783781564,8.540566319,,21.20453055
compressedQ55_pilKompresor,s4.jpg,0.773240724,0.969037764,0.908686103,18.28631893,,21.2819076
compressedQ55_pilKompresor,s5.jpg,0.812446571,0.945179472,0.922199711,19.00643815,,22.49913562
compressedQ55_pilKompresor,s6.jpg,0.679648241,0.882668507,0.881888906,26.15593762,,24.51171386
compressedQ5_pilKompresor,s1.jpg,0.366509724,0.711867645,0.765875756,36.84719305,,24.7609538
compressedQ5_pilKompresor,s2.jpg,0.197440647,0.503456528,0.874057547,81.67886736,,24.87499255
compressedQ5_pilKompresor,s3.jpg,0.107344747,0.326068525,0.874297941,84.37800298,,25.10161957
compressedQ5_pilKompresor,s4.jpg,0.086072201,0.302050245,0.901551427,154.6003577,,26.15593762
compressedQ5_pilKompresor,s5.jpg,0.110225114,0.543874221,0.920012043,81.55439642,,26.2840494
compressedQ5_pilKompresor,s6.jpg,0.419806992,0.443592724,0.838506615,42.92257785,,27.29758987
compressedQ60_pilKompresor,s1.jpg,0.74976926,0.948914871,0.885282249,18.16500825,,27.89165225
compressedQ60_pilKompresor,s2.jpg,0.655253333,0.962908801,0.861680612,21.2819076,,27.96384804
compressedQ60_pilKompresor,s3.jpg,0.450657031,0.961897162,0.789221704,8.862831595,,28.06591215
compressedQ60_pilKompresor,s4.jpg,0.823626724,0.980075079,0.918593811,20.96053651,,28.69532151
compressedQ60_pilKompresor,s5.jpg,0.834726589,0.937703945,0.934543519,10.64828614,,28.77519464
compressedQ60_pilKompresor,s6.jpg,0.732457177,0.91268861,0.883905849,20.9509083,,29.93304949
compressedQ65_pilKompresor,s1.jpg,0.752304373,0.956350298,0.887971221,14.97878107,,30.01477797
compressedQ65_pilKompresor,s2.jpg,0.803549314,0.964149606,0.899830431,15.89782414,,31.18682563
compressedQ65_pilKompresor,s3.jpg,0.565775132,0.961548052,0.825130532,8.406318927,,31.21228018
compressedQ65_pilKompresor,s4.jpg,0.842008768,0.981069721,0.926379253,17.96065574,,32.54117014
compressedQ65_pilKompresor,s5.jpg,0.896036656,0.944467517,0.955579567,14.31892697,,32.55521915
compressedQ65_pilKompresor,s6.jpg,0.783224692,0.929981351,0.905431694,17.05638456,,32.60864382
compressedQ70_pilKompresor,s1.jpg,0.780017431,0.944108207,0.907592287,20.47762097,,33.21347243
compressedQ70_pilKompresor,s2.jpg,0.851301201,0.965257467,0.929266212,15.30771982,,33.74128167
compressedQ70_pilKompresor,s3.jpg,0.687767219,0.973966386,0.863503714,7.597257824,,34.23397914
compressedQ70_pilKompresor,s4.jpg,0.876726538,0.980588443,0.951079853,20.89418778,,36.84719305
compressedQ70_pilKompresor,s5.jpg,0.905481609,0.975734204,0.959062281,13.50002981,,37.46837556
compressedQ70_pilKompresor,s6.jpg,0.850997236,0.939959796,0.941042397,15.11371828,,38.57543964
compressedQ75_pilKompresor,s1.jpg,0.796806556,0.95204799,0.913915786,19.50245413,,38.95403875
compressedQ75_pilKompresor,s2.jpg,0.85757804,0.965434725,0.923761872,14.7185693,,39.51111773
compressedQ75_pilKompresor,s3.jpg,0.823307486,0.966236098,0.907192358,7.918390462,,39.63123696
compressedQ75_pilKompresor,s4.jpg,0.894843047,0.968171463,0.974392922,38.57543964,,39.65263785
compressedQ75_pilKompresor,s5.jpg,0.92008896,0.961435776,0.968561353,13.70235469,,39.8782079
compressedQ75_pilKompresor,s6.jpg,0.837953507,0.924204994,0.92721419,13.83409025,,40.42390462
compressedQ80_pilKompresor,s1.jpg,0.84395972,0.957733456,0.926585292,14.62143899,,40.67916542
compressedQ80_pilKompresor,s2.jpg,0.842970779,0.92311442,0.960175156,20.0485842,,41.47695976
compressedQ80_pilKompresor,s3.jpg,0.843539538,0.940551593,0.95098583,24.51171386,,42.25989428
compressedQ80_pilKompresor,s4.jpg,0.874846356,0.954984439,0.976829669,64.85329359,,42.65347243
compressedQ80_pilKompresor,s5.jpg,0.945619665,0.95668941,0.971795335,14.5585693,,42.92257785
compressedQ80_pilKompresor,s6.jpg,0.769438978,0.94023832,0.870583618,17.44457661,,43.1947541
compressedQ85_pilKompresor,s1.jpg,0.817873257,0.907855724,0.965775697,29.93304949,,46.0523994
compressedQ85_pilKompresor,s2.jpg,0.881514259,0.971505805,0.919588926,10.56125186,,46.5328763
compressedQ85_pilKompresor,s3.jpg,0.781223972,0.963293601,0.905107779,5.407391952,,46.54861401
compressedQ85_pilKompresor,s4.jpg,0.896662748,0.982288959,0.963038691,8.328345753,,46.91478037
compressedQ85_pilKompresor,s5.jpg,0.925836438,0.974013646,0.964174546,11.89627422,,47.22909091
compressedQ85_pilKompresor,s6.jpg,0.870108921,0.953474291,0.935251286,11.15876105,,48.22661994
compressedQ90_pilKompresor,s1.jpg,0.883736073,0.948234755,0.974415756,17.45940154,,50.36941878
compressedQ90_pilKompresor,s2.jpg,0.909159182,0.96011699,0.958079066,9.446199702,,51.94873323
compressedQ90_pilKompresor,s3.jpg,0.895679807,0.960251359,0.950486252,15.14259314,,52.25710879
compressedQ90_pilKompresor,s4.jpg,0.943367619,0.978374563,0.973564062,11.77120715,,52.4315768
compressedQ90_pilKompresor,s5.jpg,0.95302203,0.978463364,0.968067622,15.52447094,,53.17967213
compressedQ90_pilKompresor,s6.jpg,0.890176748,0.948557727,0.9447138,9.697231834,,53.26465664
compressedQ95_pilKompresor,s1.jpg,0.947873031,0.969807428,0.975202865,5.147353314,,55.27842657
compressedQ95_pilKompresor,s2.jpg,0.933685578,0.968536737,0.959985945,14.42080477,,55.9357699
compressedQ95_pilKompresor,s3.jpg,0.909186256,0.968829485,0.953563715,6.101937407,,55.94077999
compressedQ95_pilKompresor,s4.jpg,0.947456899,0.975101871,0.978839217,20.28,,55.97774894
compressedQ95_pilKompresor,s5.jpg,0.961977068,0.979471967,0.976979524,12.95707899,,56.00450548
compressedQ95_pilKompresor,s6.jpg,0.914115217,0.961503064,0.954314904,6.809784698,,56.50122206
compressedR128_pcaKompresor,s1.jpg,0.581899729,0.831155433,0.885268718,32.54117014,,57.32566319
compressedR128_pcaKompresor,s2.jpg,0.867119031,0.918550031,0.957723051,33.74128167,,57.6871535
compressedR128_pcaKompresor,s3.jpg,0.903944772,0.962595382,0.946545044,8.023785395,,58.23731744
compressedR128_pcaKompresor,s4.jpg,0.897741881,0.953733115,0.980052753,56.50122206,,58.38461997
compressedR128_pcaKompresor,s5.jpg,0.941823352,0.963986947,0.964673752,21.20453055,,61.04596125
compressedR128_pcaKompresor,s6.jpg,0.656028348,0.736031389,0.86761641,27.96384804,,61.14193317
compressedR16_pcaKompresor,s1.jpg,0.025068122,0.112593611,0.948194865,61.14193317,,61.8242623
compressedR16_pcaKompresor,s2.jpg,0.080024696,0.258619162,0.926937738,90.80566319,,61.82629942
compressedR16_pcaKompresor,s3.jpg,0.047334031,0.255249115,0.903920876,86.89186289,,61.87015093
compressedR16_pcaKompresor,s4.jpg,0.102134132,0.32248853,0.911655329,150.9222653,,61.87662353
compressedR16_pcaKompresor,s5.jpg,0.14736353,0.534915455,0.981066376,84.76208644,,61.89359437
compressedR16_pcaKompresor,s6.jpg,0.022601933,0.064314951,0.945017794,55.27842657,,64.85329359
compressedR1_pcaKompresor,s1.jpg,0.000704415,0.018821641,0.738530735,61.82629942,,64.92160954
compressedR1_pcaKompresor,s2.jpg,0.000844306,0.022290171,0.92293578,97.57067064,,64.9961848
compressedR1_pcaKompresor,s3.jpg,0.001214743,0.02877662,0.724874372,89.04918033,,71.44441133
compressedR1_pcaKompresor,s4.jpg,0.000229634,0.013507877,0.952488688,162.6149031,,73.9638152
compressedR1_pcaKompresor,s5.jpg,0.000528167,0.021417977,0.876213592,89.32196721,,76.14861401
compressedR1_pcaKompresor,s6.jpg,0.001180194,0.019581487,0.841749089,55.97774894,,81.55439642
compressedR256_pcaKompresor,s1.jpg,0.740436891,0.91973101,0.94921724,19.46661803,,81.67886736
compressedR256_pcaKompresor,s6.jpg,0.839854453,0.918392308,0.906243652,11.62847222,,84.37800298
compressedR2_pcaKompresor,s1.jpg,0.000694022,0.020021397,0.761627907,61.87015093,,84.76208644
compressedR2_pcaKompresor,s2.jpg,0.000981348,0.020694851,0.922924901,97.52339791,,84.84202683
compressedR2_pcaKompresor,s3.jpg,0.001888587,0.031170515,0.626252505,88.98461997,,86.89186289
compressedR2_pcaKompresor,s4.jpg,0.00046957,0.022267142,0.977464789,162.3746051,,87.93710879
compressedR2_pcaKompresor,s5.jpg,0.000576833,0.025867695,0.988662132,89.31606557,,88.11642325
compressedR2_pcaKompresor,s6.jpg,0.001515691,0.025406283,0.813178295,55.94077999,,88.48089419
compressedR32_pcaKompresor,s1.jpg,0.254846411,0.375049671,0.87439648,53.26465664,,88.98461997
compressedR32_pcaKompresor,s2.jpg,0.338439301,0.591332093,0.9001619,76.14861401,,89.04918033
compressedR32_pcaKompresor,s3.jpg,0.333119694,0.510747594,0.925781956,73.9638152,,89.10289121
compressedR32_pcaKompresor,s4.jpg,0.326050738,0.486636507,0.967715179,143.1914158,,89.14539493
compressedR32_pcaKompresor,s5.jpg,0.589639928,0.81121329,0.944920525,71.44441133,,89.31606557
compressedR32_pcaKompresor,s6.jpg,0.211560401,0.234105936,0.952690716,52.4315768,,89.32196721
compressedR4_pcaKompresor,s1.jpg,0.000696716,0.016414489,0.781943939,61.87662353,,89.53025335
compressedR4_pcaKompresor,s2.jpg,0.001127421,0.026367101,0.938485804,97.67397914,,89.79976155
compressedR4_pcaKompresor,s3.jpg,0.002235808,0.039399531,0.845824411,89.14539493,,90.80566319
compressedR4_pcaKompresor,s4.jpg,0.001193662,0.035069144,0.982913669,162.2104918,,92.41901639
compressedR4_pcaKompresor,s5.jpg,0.001464489,0.060812815,0.978987584,89.53025335,,97.28459016
compressedR4_pcaKompresor,s6.jpg,0.00134965,0.021918671,0.809481216,56.00450548,,97.52339791
compressedR64_pcaKompresor,s1.jpg,0.371250982,0.609445209,0.818204202,42.25989428,,97.57067064
compressedR64_pcaKompresor,s2.jpg,0.620425551,0.792342462,0.95466923,58.38461997,,97.67397914
compressedR64_pcaKompresor,s3.jpg,0.570695279,0.794523964,0.952981994,64.9961848,,120.2187183
compressedR64_pcaKompresor,s4.jpg,0.605130196,0.781531748,0.982811491,125.6935917,,125.6935917
compressedR64_pcaKompresor,s5.jpg,0.851766894,0.903292791,0.94051149,46.0523994,,143.1914158
compressedR64_pcaKompresor,s6.jpg,0.48664084,0.475695706,0.903616121,39.8782079,,150.9222653
compressedR8_pcaKompresor,s1.jpg,0.001166677,0.023101024,0.784583441,61.89359437,,154.6003577
compressedR8_pcaKompresor,s2.jpg,0.008222204,0.060888062,0.89921466,97.28459016,,159.3648286
compressedR8_pcaKompresor,s3.jpg,0.003081542,0.044087577,0.891129032,89.10289121,,162.2104918
compressedR8_pcaKompresor,s4.jpg,0.010816017,0.097988257,0.979159987,162.4890611,,162.3746051
compressedR8_pcaKompresor,s5.jpg,0.043237749,0.28395135,0.989456275,88.11642325,,162.4890611
compressedR8_pcaKompresor,s6.jpg,0.001866884,0.02196711,0.806580703,55.9357699,,162.6149031
OG,s1.jpg,1,1,1,0,,
OG,s2.jpg,1,1,1,0,,
OG,s3.jpg,1,1,1,0,,
OG,s4.jpg,1,1,1,0,,
OG,s5.jpg,1,1,1,0,,
OG,s6.jpg,1,1,1,0,,
